,date,cases,deaths,new_cases,new_deaths
3627,2020-03-18,81086,3241,23,16
3628,2020-03-19,81130,3249,44,8
3629,2020-03-20,81229,3253,99,4
3630,2020-03-21,81281,3259,52,6
3631,2020-03-22,81346,3265,65,6
3632,2020-03-23,81484,3274,138,9
3633,2020-03-24,81553,3281,69,7
3634,2020-03-25,81631,3285,78,4
3635,2020-03-26,81733,3291,102,6
3636,2020-03-27,81827,3296,94,5
3637,2020-03-28,81946,3299,119,3
3638,2020-03-29,82059,3304,113,5
3639,2020-03-30,82157,3306,98,2
3640,2020-03-31,82241,3309,84,3
3641,2020-04-01,82295,3310,54,1
3642,2020-04-02,82395,3316,100,6
3643,2020-04-03,82465,3326,70,10
3644,2020-04-04,82527,3330,62,4
3645,2020-04-05,82575,3333,48,3
3646,2020-04-06,82642,3335,67,2
3647,2020-04-07,82698,3335,56,0
3648,2020-04-08,82784,3337,86,2
3649,2020-04-09,82870,3339,86,2
3650,2020-04-10,82925,3340,55,1
3651,2020-04-11,83004,3343,79,3
3652,2020-04-12,83097,3343,93,0
3653,2020-04-13,83209,3345,112,2
3654,2020-04-14,83303,3345,94,0
3655,2020-04-15,83352,3346,49,1
3656,2020-04-16,83402,3346,50,0
3657,2020-04-17,83754,4636,352,1290
3658,2020-04-18,83785,4636,31,0
3659,2020-04-19,83803,4636,18,0
3660,2020-04-20,83817,4636,14,0
3661,2020-04-21,83849,4636,32,0
3662,2020-04-22,83864,4636,15,0
3663,2020-04-23,83876,4636,12,0
3664,2020-04-24,83884,4636,8,0
3665,2020-04-25,83899,4636,15,0
3666,2020-04-26,83909,4636,10,0
3667,2020-04-27,83912,4637,3,1
3668,2020-04-28,83938,4637,26,0
3669,2020-04-29,83940,4637,2,0
3670,2020-04-30,83944,4637,4,0
3671,2020-05-01,83956,4637,12,0
3672,2020-05-02,83959,4637,3,0
3673,2020-05-03,83961,4637,2,0
3674,2020-05-04,83964,4637,3,0
3675,2020-05-05,83966,4637,2,0
3676,2020-05-06,83968,4637,2,0
3677,2020-05-07,83970,4637,2,0
3678,2020-05-08,83976,4637,6,0
3679,2020-05-09,83976,4637,0,0
3680,2020-05-10,83991,4637,15,0
3681,2020-05-11,84010,4637,19,0
3682,2020-05-12,84011,4637,1,0
3683,2020-05-13,84018,4637,7,0
3684,2020-05-14,84024,4637,6,0
3685,2020-05-15,84029,4637,5,0
3686,2020-05-16,84038,4637,9,0
3687,2020-05-17,84044,4638,6,1
3688,2020-05-18,84054,4638,10,0
3689,2020-05-19,84063,4638,9,0
3690,2020-05-20,84065,4638,2,0
3691,2020-05-21,84067,4638,2,0
3692,2020-05-22,84079,4638,12,0
3693,2020-05-23,84081,4638,2,0
3694,2020-05-24,84084,4638,3,0
3695,2020-05-25,84095,4638,11,0
3696,2020-05-26,84102,4638,7,0
3697,2020-05-27,84103,4638,1,0
3698,2020-05-28,84106,4638,3,0
3699,2020-05-29,84106,4638,0,0
